start,end,text
00:00:00,00:00:11,您好，歡迎來到Luna Villa貴賓中心，請問有什麼我可以協助的？
00:00:11,00:00:26,我想確認一下我的住宿安排。
00:00:26,00:00:39,好的，請問您的訂房編號是多少呢？
00:00:39,00:00:57,我用名字訂房的，可以幫我查詢嗎？
00:00:57,00:01:09,當然可以，請問您的姓名是？
00:01:09,00:01:19,我是李大衛。
00:01:19,00:01:33,好的，稍等，我幫您查詢。
00:01:33,00:01:51,好的，謝謝。
00:01:51,00:02:02,查詢完成，您預訂的是海景套房，入住日期為4月15日，退房日期為4月17日。
00:02:02,00:02:13,太好了！我想確認一下，房間有包含早餐嗎？
00:02:13,00:02:29,是的，房間有附贈自助早餐，供應時間為早上7點到10點。
00:02:29,00:02:40,很好，那有素食選項嗎？
00:02:40,00:02:52,有的，自助餐區有提供素食區，還有清真和低醣選擇。
00:02:52,00:03:09,那晚餐的部分呢？
00:03:09,00:03:28,晚餐可在主餐廳用餐，也可以選擇送餐服務，主餐廳營業到晚上10點。
00:03:28,00:03:41,好的，我會考慮一下。還有，我想參加週末的戶外活動，有推薦的嗎？
00:03:41,00:03:59,我們有沙灘瑜伽、環島單車和晚間音樂會，請問您對哪一項有興趣？
00:03:59,00:04:12,沙灘瑜伽聽起來不錯，我需要事先報名嗎？
00:04:12,00:04:26,是的，建議提前報名，活動在早上8點舉行。
00:04:26,00:04:41,好的，我可以現在報名嗎？
00:04:41,00:04:55,可以的，我幫您登記。
00:04:55,00:05:07,謝謝，另外，我想確認一下退房流程。
00:05:07,00:05:19,退房時間為中午12點，若需要延遲退房，請提前與櫃檯聯繫。
00:05:19,00:05:35,好的，感謝提醒。
00:05:35,00:05:46,不客氣，還有其他需要協助的嗎？
00:05:46,00:05:58,暫時沒有了，謝謝您的幫忙。
00:05:58,00:06:13,祝您有個愉快的假期！
